Date,Close_GC=F,High_GC=F,Low_GC=F,Open_GC=F,Volume_GC=F
2024-01-02,2064.39990234375,2073.699951171875,2057.10009765625,2063.5,61
2024-01-03,2034.199951171875,2044.0,2034.199951171875,2034.199951171875,54
2024-01-04,2042.300048828125,2044.5,2038.0,2041.5999755859375,88
2024-01-05,2042.4000244140625,2048.10009765625,2042.4000244140625,2044.5,12
2024-01-08,2026.5999755859375,2033.699951171875,2019.0999755859375,2019.0999755859375,10
2024-01-09,2026.4000244140625,2035.800048828125,2026.4000244140625,2035.800048828125,27
2024-01-10,2021.699951171875,2035.5999755859375,2021.699951171875,2029.0,538
2024-01-11,2014.300048828125,2025.0999755859375,2014.300048828125,2025.0999755859375,97
2024-01-12,2046.699951171875,2057.0,2031.0999755859375,2031.0999755859375,390
2024-01-16,2026.0,2054.800048828125,2026.0,2051.699951171875,46
